GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,PseudorangeRateMetersPerSecond,Constellation,GPS_Unique_Time,Pos_X,Pos_Y,Pos_Z,Lat,Lon,Alt
2024-04-13 16:53:59.426041+00:00,G32,-1637195.3258879315,17338344.398913197,20161579.050676305,22842618.94312289,40.1,387.8385314941406,G,2024-04-13 16:54:49.426043+00:00,4437057.644573612,3085071.038645991,3376304.18033187,32.16860414465976,34.81075739568965,60.1954553630203
2024-04-13 16:53:59.426041+00:00,G08,15760958.72856716,1911937.6307469464,21852715.157364134,21702205.386219773,49.5,-312.30291748046875,G,2024-04-13 16:54:50.426043+00:00,4437057.319174147,3085079.2744130795,3376289.1953858277,32.16846846653683,34.81083105571279,55.97092927992344
2024-04-13 16:53:59.426041+00:00,G10,23095137.669228863,13303885.894964872,-3039934.6429802966,22219712.32482747,38.5,573.3901977539062,G,2024-04-13 16:54:51.426043+00:00,4437059.4404636435,3085063.583631836,3376281.866807944,32.168447167788706,34.81068163184416,45.96113253105432
2024-04-13 16:53:59.426041+00:00,G27,5167784.765213959,25828761.73338692,-3437610.2351403194,23753450.615356904,37.3,-474.3254089355469,G,2024-04-13 16:54:52.426043+00:00,4437064.302675672,3085070.4719381733,3376276.9923381074,32.16837191167236,34.810712165085704,50.07380922045559
2024-04-13 16:53:59.426041+00:00,G32,7793497.35298096,17843022.227150016,18364646.37011739,21300336.526333053,44.7,282.04962158203125,G,2024-04-13 16:54:53.426043+00:00,4437084.301215347,3085074.9938283293,3376285.9335977742,32.16834893710881,34.810630488326325,70.91836787573993
2024-04-13 16:54:00.426041+00:00,G10,14636910.21642518,-4857843.355681109,22090289.65819919,22745164.61351932,42.8,-472.1924133300781,G,2024-04-13 16:54:54.426043+00:00,4437084.9718008395,3085064.316724153,3376281.776775886,32.16834382667984,34.810533487909105,64.01179899740964
2024-04-13 16:54:00.426041+00:00,G21,23138148.80022683,-12052411.689958349,4468203.178063165,24084756.52230693,34.1,-468.6457214355469,G,2024-04-13 16:54:55.426043+00:00,4437088.591490159,3085071.7044039764,3376263.895959653,32.16817281587647,34.810575888364816,60.577570176683366
2024-04-13 16:54:00.426041+00:00,G27,25031243.54899787,4789688.116727776,8111556.520980244,21200269.89977105,47.5,213.0546875,G,2024-04-13 16:54:56.426043+00:00,4437070.48937627,3085060.1384896813,3376230.4705635738,32.16802071925848,34.81058477021207,24.611866581253707
2024-04-13 16:54:00.426041+00:00,G32,-1639333.5289919898,17339677.76160357,20160213.88637453,22843018.27261051,38.9,387.85650634765625,G,2024-04-13 16:54:57.426043+00:00,4437095.314561033,3085062.2240062617,3376232.9191513457,32.16793583452981,34.81045267328536,44.176733899861574
2024-04-13 16:54:00.426041+00:00,G08,15761397.681115557,1914557.4243196207,21852257.09771509,21701890.025407627,49.4,-312.05194091796875,G,2024-04-13 16:54:58.426043+00:00,4437106.572303641,3085065.767316581,3376233.2336861477,32.16788414648227,34.8104153814618,53.88064906746149
2024-04-13 16:54:00.426041+00:00,G10,23094723.703812163,13303950.061568344,-3043055.38651061,22220275.33797098,37.0,573.7417602539062,G,2024-04-13 16:54:59.426043+00:00,4437114.619424334,3085063.8167113187,3376233.4483092693,32.167859409640315,34.81034969823034,58.645141056738794
2024-04-13 16:54:00.426041+00:00,G27,5167556.710970115,25829223.06905884,-3434472.9156975457,23752968.84521257,36.6,-474.72076416015625,G,2024-04-13 16:55:00.426043+00:00,4437098.92412653,3085055.6245558155,3376216.6844473043,32.167815764518984,34.81037338019475,34.85328642651439
2024-04-13 16:54:00.426041+00:00,G32,7791374.828913771,17842173.42537579,18366371.843640525,21300618.6264167,44.2,282.16473388671875,G,2024-04-13 16:55:01.426043+00:00,4437111.395599723,3085055.4114172426,3376224.260037201,32.16782501555967,34.81029604360244,47.451016685925424
2024-04-13 16:54:01.426041+00:00,G10,14637364.642792435,-4855191.928899638,22090605.020128507,22744699.636960126,44.0,-472.592529296875,G,2024-04-13 16:55:02.426043+00:00,4437102.140558782,3085039.494586546,3376218.145708572,32.16785844898556,34.81021350509139,30.072195280343294
2024-04-13 16:54:01.426041+00:00,G21,23137783.6315156,-12051903.737279223,4471370.149586759,24084289.73535582,37.7,-469.5716857910156,G,2024-04-13 16:55:03.426043+00:00,4437121.879890581,3085040.9900493925,3376235.161782058,32.16790643190119,34.810107054641286,53.57300058193505
2024-04-13 16:54:01.426041+00:00,G27,25032086.961229336,4790336.275879034,8108651.691458832,21200489.325761728,47.1,212.2763214111328,G,2024-04-13 16:55:04.426043+00:00,4437116.625038896,3085034.893799816,3376233.463458178,32.16793089058025,34.81008579175857,46.07076090294868
2024-04-13 16:54:01.426041+00:00,G32,-1641471.5118815778,17341011.162935663,20158848.2970616,22843406.18965573,39.7,387.7375793457031,G,2024-04-13 16:55:05.426043+00:00,4437135.718274595,3085028.9912046087,3376246.653376394,32.16797248910395,34.809918853548126,63.51084041688591
2024-04-13 16:54:01.426041+00:00,G08,15761836.780819189,1917177.1252672137,21851798.5961095,21701581.53998127,49.7,-312.4634704589844,G,2024-04-13 16:55:06.426043+00:00,4437116.218111934,3085029.3128912137,3376224.909806045,32.167882495726225,34.81003967377413,38.537467358633876
2024-04-13 16:54:01.426041+00:00,G10,23094309.393677942,13304014.084582366,-3046176.0669477573,22220861.42030233,38.9,573.3552856445312,G,2024-04-13 16:55:07.426043+00:00,4437123.973285986,3085021.716068822,3376233.950385753,32.167941758056166,34.8099266083371,45.0693020503968
2024-04-13 16:54:01.426041+00:00,G27,5167328.641565351,25829684.026040275,-3431335.5232302905,23752489.76240177,35.0,-475.2349243164063,G,2024-04-13 16:55:08.426043+00:00,4437132.862291621,3085015.2662481028,3376237.561029092,32.16795195720094,34.8098166652393,50.05288059823215
2024-04-13 16:54:01.426041+00:00,G32,7789252.06053795,17841324.657176737,18368096.93532691,21300900.72650035,48.6,281.9228820800781,G,2024-04-13 16:55:09.426043+00:00,4437118.268027642,3085008.316189142,3376224.2568558436,32.16792697775856,34.80984449407132,29.468341052532196
2024-04-13 16:54:02.426042+00:00,G10,14637819.235400124,-4852540.495166579,22090919.93178401,22744222.375447653,43.9,-472.9250183105469,G,2024-04-13 16:55:10.426043+00:00,4435993.592132665,3085050.452434926,3375010.4587354558,32.16297802276466,34.817019306190865,-1378.0043671298772
2024-04-13 16:54:02.426042+00:00,G21,23137418.16256568,-12051395.536342004,4474537.0249152295,24083828.672076136,37.9,-470.3266906738281,G,2024-04-13 16:55:11.426043+00:00,4436003.504149436,3085051.9138167794,3375031.899297733,32.16309865675611,34.81697201754494,-1358.9958179853857
2024-04-13 16:54:02.426042+00:00,G27,25032930.07953713,4790984.237728105,8105746.692842904,21200697.40911087,44.7,211.6723022460937,G,2024-04-13 16:55:12.426043+00:00,4437143.318937859,3085000.10826158,3376238.019953076,32.16795578462815,34.80962143127319,50.240053373388946
2024-04-13 16:54:02.426042+00:00,G32,-1643609.2744914235,17342344.602838773,20157482.28278116,22843786.323903844,35.3,387.1964416503906,G,2024-04-13 16:55:13.426043+00:00,4437149.7621841375,3084996.7388386345,3376236.528895175,32.16792823796109,34.80955310509978,52.296187587082386
2024-04-13 16:54:02.426042+00:00,G08,15762276.02768425,1919796.733670954,21851339.65253534,21701263.73613864,40.8,-312.7557678222656,G,2024-04-13 16:55:14.426043+00:00,4437163.763452883,3084994.8828600645,3376235.8423969373,32.16787289128227,34.809452210894015,60.76495211850852
2024-04-13 16:54:02.426042+00:00,G10,23093894.738759417,13304077.964065364,-3049296.6846329058,22221431.62293555,40.1,572.4197387695312,G,2024-04-13 16:55:15.426043+00:00,4437134.951160237,3084974.718443481,3376239.05769525,32.16806627934712,34.8094510592211,32.708269285969436
2024-04-13 16:54:02.426042+00:00,G27,5167100.55516872,25830144.60791785,-3428198.0333267725,23749674.40953951,50.9,281.7537841796875,G,2024-04-13 16:55:16.426043+00:00,4437163.758699822,3084979.8130696504,3376242.142155136,32.16796230171817,34.809321059055875,56.83366064913571
2024-04-13 16:54:02.426042+00:00,G32,7787129.047901933,17840475.92260587,18369821.64513207,21301184.327302728,31.7,-475.2441711425781,G,2024-04-13 16:55:17.426043+00:00,4437178.434979642,3084973.367550474,3376238.4083033386,32.16789361038888,34.809176128661505,61.931443008594215
2024-04-13 16:54:03.426042+00:00,G10,14638273.994217336,-4849889.054697799,22091234.39314268,22743749.930195272,45.4,-471.7315979003906,G,2024-04-13 16:55:18.426043+00:00,4437150.4233198445,3084962.4264590344,3376234.1788974097,32.16800173399282,34.80925041808748,34.92450105585158
2024-04-13 16:54:03.426042+00:00,G21,25033772.90383549,4791632.002273027,8102841.525349718,21200910.273819678,48.4,213.1464691162109,G,2024-04-13 16:55:19.426043+00:00,4437156.253420543,3084959.2367935204,3376242.2285636715,32.16804894126292,34.80918736757371,41.720962109044194
2024-04-13 16:54:03.426042+00:00,G27,-1645746.8165576486,17343678.081118334,20156115.84370388,22844190.15554764,34.4,388.7319030761719,G,2024-04-13 16:55:20.426043+00:00,4437160.490358779,3084954.208897691,3376243.8537902567,32.16805842543147,34.80911795750164,43.10144695919007
2024-04-13 16:54:03.426042+00:00,G32,15762715.421661953,1922416.2492842907,21850880.267038044,21700957.93804581,46.6,-311.5648498535156,G,2024-04-13 16:55:21.426043+00:00,4437166.356096647,3084949.016899981,3376249.360088166,32.16809156487899,34.8090372612411,47.60058457404375
2024-04-13 16:54:03.426042+00:00,G08,23093479.73906386,13304141.700064404,-3052417.239348889,22222000.63895396,37.7,573.7925415039062,G,2024-04-13 16:55:22.426043+00:00,4437173.275762676,3084940.2265514424,3376252.817899115,32.168114774419685,34.80891886308183,50.00323525629938
2024-04-13 16:54:03.426042+00:00,G10,5166872.455284655,25830604.80750553,-3425060.494969624,23749196.82744744,53.0,282.7855224609375,G,2024-04-13 16:55:23.426043+00:00,4437176.263768451,3084938.314855706,3376253.2623283546,32.168111627511394,34.80888413813144,51.39282059855759
2024-04-13 16:54:03.426042+00:00,G27,7785005.791009505,17839627.221698463,18371545.97304768,21301464.647464167,37.6,-475.0005493164063,G,2024-04-13 16:55:24.426043+00:00,4437181.5528472345,3084933.8664652305,3376253.123984507,32.16810191333132,34.80881340507179,52.84567071404308
2024-04-13 16:54:04.426042+00:00,G10,14638728.91924019,-4847237.607551768,22091548.404200222,22743281.638094712,40.6,-471.4403991699219,G,2024-04-13 16:55:25.426043+00:00,4437166.991488989,3084929.603210547,3376246.8266811636,32.168122928599274,34.8088644204017,37.31281193997711
2024-04-13 16:54:04.426042+00:00,G21,23136686.324083906,-12050378.389507605,4480870.486977739,24082898.72781921,33.3,-468.57916259765625,G,2024-04-13 16:55:26.426043+00:00,4437190.394563624,3084926.570590006,3376261.274453506,32.16814927151133,34.808696383983175,59.80476352851838
